,no_of_cores,no_of_threads,spec_score,imageurl,model_name,brand,processor_name,ram(GB),ssd(GB),graphics,screen_size(inches),resolution_(pixels),price
37,2,4,55,,HP_14s-dy2507TU_Laptop,HP,11th_Gen_Core_i3,8,256,Intel_Integrated_UHD_Graphics,14,1920_x_1080,10070000
38,8,16,75,,Asus_ROG_Strix_G17_2022_G713IE-HX040W_Gaming_Laptop,Asus,AMD_Ryzen_7_4800H,16,1000,NVIDIA_GeForce_RTX_3050_Ti,17.3,1920_x_1080,24980000
39,6,12,73,,Acer_Nitro_5_AN515-56_Gaming_Laptop,Acer,11th_Gen_Core_i5,16,512,NVIDIA_GeForce_GTX_1650,15.6,1920_x_1080,17880000
40,14,20,84,,MSI_Gaming_Crosshair_15_B12UEZ-677IN_Laptop,MSI,12th_Gen_Core_i7,16,1000,NVIDIA_GeForce_RTX_3060,15.6,2560_x_1440,31520000
41,6,12,69,,Dell_G15-5511_Gaming_Laptop,Dell,11th_Gen_Core_i5,16,512,NVIDIA_GeForce_RTX_3050,15.6,1920_x_1080,19340000
42,14,20,75,,Dell_G15-5520_Laptop,Dell,12th_Gen_Core_i7,16,512,NVIDIA_GeForce_RTX_3050_Ti,15.6,1920_x_1080,30780000
43,6,12,59,,Lenovo_Ideapad_15ALC6_82KU017KIN_Laptop,Lenovo,Ryzen_5_5500U,8,512,AMD_Radeon,15.6,1920_x_1080,13570000
44,2,4,62,,HP_15s-GR0012AU_Laptop,HP,AMD_Ryzen_3_3250U,8,256,AMD_Radeon_Vega_6,15.6,1920_x_1080,12770000
45,4,8,57,,HP_EliteBook_840_G6,HP,8LX79PA)_Laptop_,8,512,Integrated_UHD_Graphics_620,14,1920_x_1080,25690000
46,12,16,78,,Lenovo_Yoga_9i_83B1002GIN_Laptop,Lenovo,13th_Gen_Core_i7,16,1000,Intel_Iris_Xe_Integrated_Graphics,14,3840_x_2400,49690000
47,14,20,84,,Dell_Alienware_M15_R7_Gaming_Laptop,Dell,12th_Gen_Core_i7,16,512,NVIDIA_GeForce_RTX_3060,15.6,1920_x_1080,47990000
48,14,20,71,,Dell_G15-5521_D560897WIN9S_Gaming_Laptop,Dell,12th_Gen_Core_i9,16,1000,NVIDIA_GEFORCE_RTX_3070_Ti,15.6,2560_x_1440,39470000
49,14,20,86,,Lenovo_Legion_5_82RB00K8IN_Laptop,Lenovo,12th_Gen_Core_i7,16,1000,NVIDIA_GeForce_RTX_3060,15.6,2560_x_1600,40320000
50,10,12,61,,MSI_Modern_15_B12M-202IN_Laptop,MSI,12th_Gen_Core_i5,8,512,Intel_Integrated_Iris_Xe,15.6,1920_x_1080,15750000
51,8,12,76,,MSI_Katana_GF66_12UD-640IN_Gaming_Laptop,MSI,12th_Gen_Core_i5,16,512,NVIDIA_GeForce_RTX_3050_Ti,15.6,1920_x_1080,22140000
52,14,20,75,,MSI_Pulse_GL66_12UEK-898IN_Gaming_Laptop,MSI,12th_Gen_Core_i9,16,1000,NVIDIA_GeForce_RTX_3060,15.6,2560_x_1440,38340000
53,14,20,85,,MSI_Vector_GP66_12UEO-646IN_Gaming_Laptop,MSI,12th_Gen_Core_i7,16,1000,NVIDIA_GeForce_RTX_3060,15.6,1920_x_1080,38050000
54,14,20,81,,Asus_ZenBook_Pro_Duo_14_OLED_2022_UX8402ZE-M711WS_Laptop,Asus,12th_Gen_Core_i7,16,1000,NVIDIA_GeForce_RTX_3050_Ti,14.5,2880_x_1800,45430000
55,12,16,71,,Dell_XPS_13_Plus_9320_Laptop,Dell,12th_Gen_Core_i7,16,1000,Intel_Iris_Xe_Graphics,13.4,3840_x_2400,50690000
56,8,16,82,,Asus_Strix_G15_G513RM-HQ271WS_Gaming_Laptop,Asus,Ryzen_7_6800H,16,1000,NVIDIA_GeForce_RTX_3060,15.6,2560_x_1440,35490000
57,2,2,43,,Lenovo_V15-IGL_82C3A008IH_Laptop,Lenovo,Celeron_N4020,4,256,Intel_Integrated_UHD,15.6,1920_x_1080,5670000
58,8,16,79,,Lenovo_Thinkpad_P15v_21AAS05L00_Laptop,Lenovo,11th_Gen_Core_i7,16,1000,Nvidia_Quadro_T600,15.6,1920_x_1080,45430000
59,4,8,56,,Lenovo_V14_Gen_2_â€Ž82C40019IX_Laptop,Lenovo,11th_Gen_Core_i5,8,512,Intel_Iris_Xe_Graphics,14,1920_x_1080,14190000
60,14,20,96,,MSI_Stealth_GS66_12UGS-290IN_Gaming_Laptop,MSI,12th_Gen_Core_i7,32,1000,NVIDIA_GeForce_RTX_3070Ti,15.6,2560_x_1440,82070000
61,12,16,71,,Lenovo_ThinkPad_X13_21BNS03K00_Laptop,Lenovo,12th_Gen_Core_i7,16,512,Intel_Iris_Xe_Graphics,13.3,1920_x_1200,56800000
62,6,12,71,,Acer_Nitro_5_AN515-45_UN.QBMSI.009_Gaming_Laptop,Acer,AMD_Ryzen_5_5600H,16,512,NVIDIA_GeForce_GTX_1650,15.6,1920_x_1080,18170000
63,2,2,44,,Asus_Eeebook_14_E410KA-BV092W_Laptop,Asus,Celeron_N4500,4,256,Intel_UHD_Graphics,14,1920_x_1080,6950000
64,8,0,0,,Acer_Chromebook_Enterprise_Spin_513_R841LT-S6DJ_Laptop,Acer,Snapdragon_7c,4,0,Qualcomm_Adreno_618,13.3,1920_x_1080,13620000
65,10,12,57,,Lenovo_â€ŽThinkPad_E14_Gen_4_Laptop,Lenovo,12th_Gen_Core_i5,8,512,Intel_Iris_Xe,14,1920_x_1080,21150000
66,2,2,45,,Asus_E410_Eeebook_E410KA-BV003W_Laptop,Asus,Celeron_N4500,4,256,Intel_UHD_Graphics,14,1920_x_1080,6930000
67,4,8,61,,Lenovo_Thinkbook_14_20VD011EIH_Laptop,Lenovo,11th_Gen_Core_i7,16,512,Intel_Iris_Xe_Graphics,14,1920_x_1080,29420000
68,8,16,76,,Dell_G15-5525_Gaming_Laptop,Dell,Ryzen_9-6900HX,16,1000,GeForce_RTX_3060,15.6,1920_x_1080,41770000
69,2,2,45,,Asus_E410KA-BV002W_Laptop,Asus,Celeron_N4500,4,256,Intel_UHD_Graphics,14,1920_x_1080,6950000
70,14,20,94,,MSI_Creator_Pro_Z17_A12UMST-237IN_Gaming_Laptop,MSI,12th_Gen_Core_i7,32,1000,NVIDIA_GeForce_RTX_A5500,16,2560_x_1600,126370000
71,4,8,55,,Lenovo_ThinkBook_14_20VDA0QTIH_Laptop,Lenovo,11th_Gen_Core_i5,8,512,Intel_UHD_Graphics,14,1920_x_1080,17060000
72,4,4,49,,Acer_TravelMate_TMB311-31_Laptop,Acer,Intel_Pentium_N5030,4,128,UHD_Graphics_600,11.6,1366_x_768,7090000
